"","time","n.risk","n.event","n.censor","estimate","std.error","conf.high","conf.low"
"148",84,17,1,0,0.0654521067711216,0.235959146615196,0.103937536699264,0.0412168540531578
"149",86,16,2,0,0.0572705934247314,0.254175707533083,0.0942511022047205,0.0347998144795873
"150",87,14,1,0,0.0531798367515363,0.264763660260332,0.0893540488079055,0.0316504408546716
"151",90,13,1,0,0.0490890800783412,0.276604505033279,0.0844172256561431,0.0285455695115282
"152",91,12,2,0,0.040907566731951,0.305248618131797,0.0744100750103974,0.0224892800564332
"153",94,10,1,0,0.0368168100587559,0.322936263034183,0.069331405183949,0.0195506999938366
"154",95,9,2,0,0.0286352967123657,0.368827685686032,0.0589995070104451,0.0138980859223121
"155",97,7,1,0,0.0245445400391706,0.399804183992662,0.0537364331876308,0.0112109124107835
"156",101,6,1,0,0.0204537833659755,0.439518735518034,0.0484052734417038,0.0086428032368436
"157",105,5,1,0,0.0163630266927804,0.493129515311517,0.0430146351218759,0.00622459406641522
"158",108,4,1,0,0.0122722700195853,0.571410581110208,0.0376106180938899,0.00400441734452855
"159",109,3,2,0,0.0040907566731951,0.996582519850399,0.0288467058697395,0.000580110957377797
"160",114,1,1,0,0,Inf,NA,NA
